tcode,description,module
FQ1033,FI-CA: Credit Card Lot Specs,
FQ1035,FI-CA: Specs for Man. Checks Lot,
FQ1036,FI-CA: Specs for Check Encashment,
FQ1037,FI-CA: Specs for Check Encashment,
FQ1038,FI-CA: Specs for Check Encashment,
FQ1039,Check Encashment Exp./Rev. Accounts,
FQ1041,FI-CA: Returns Clarification Account,
FQ1320,Settings for Credit Clarification,
FQ1321,Settings for Credit Clarification,
FQ1380,Settings for Revenue Distribution,
FQ2001,Account Determination f. Fund Clearing,
FQ2101,FI-CA: Document Type for Perception,
FQ2102,FI-CA: Tax Determ. Code - Argentina,
FQB9,"FI-CA: Ital. Stamp Tax Returns,Specs",
FQC1005,Prefix for Lot IDs-Account Stmt Transfr,
FQC1091,Account Determination */1091,
FQC1200,Account Determination */1200,
FQC1210,Account Determination */1200,
FQC1350,C FKK Account Determination */1350,
FQC1400,Account Determ. IDOC Receivables Items,
FQC1401,Account Determ. IDOC Revenue Items,
FQC1402,Document Type Determination,
FQC1403,Determination of Posting Data,
FQC1404,Determination of Posting Transacts,
FQC1405,Tax IDs for IDOC Data,
FQC1410,Data for Reversing IDOC Documents,
FQC1500,Receipt Management Specifications,
FQC1510,Credit Specif. from Follow-Up Acts,
FQC40,C FKK Account Determination */0040,
FQC700,Collective Bill Specifications,
FQC8,C FI-CA Account Determination */0071,
FQC900,Account Determination */0900,
FQCALLID,Maintenance of Table TFKCALLID,
FQCVS,CVS Bank Clearing Account,
FQD1,Productive Start - Delete Test Data,
FQD2,Synchronization - Maintain Variants,
FQEVENTS,Events,
FQFUND,Activation Status Fund Accounting,
FQH2,Spec. for Document Type Payment Cat.,
FQI4,Maintain Interest Entries,
FQI4Z,Interest: Additional Functions,
FQI5,Maintain Cash Sec.Deposit Entries,
FQI8,Specifications-Interest on Arrears,
FQI9,Processes for witholding tax code,
FQK50,Derivation of Credit Segment,
FQK53,Derivation of Credit Segment,
FQKPA,Modifiable Fields in Account Maint.,
FQKPD,Document Processing: Variants,
FQKPH,Man. Issued Checks: Line Layout,
FQKPI,Payment Specification: Line Layout,
FQKPK,Document: Line Layout Variants (G/L),
FQKPM,Account Balance:Line Layout Variants,
FQKPN,Bank Report: Line Layout Variants,
FQKPO,OI Processing: Line Layout Variants,
FQKPP,Document: Line Layout Variants (OI),
FQKPS,Posting Totals: Line Layout Variants,
FQKPZ,Payment Lot: Line Layout Variants,
FQP1,Define Payment Methods,
FQP3,Payment Medium Formats,
FQP4,Company Code Details for Payment,
FQP6A,Assign Internal Check Numbers,
FQSEC,Security Deposit: Special Parameters,
FQU2,Transfer Items: Trans. Determination,
FQVBUND,Doc. Type for VBUND Adjustment Pstg,
FQZ01,FI-CA: Account Det-Alt. Account Reversal,
FQZ02,FI-CA: Charge-Off Specs,
FQZ04A,FI-CA: Write-Off Account Determination,
FQZ04T,Write-Off without Tax Adjustment,
FQZ04U,Alterna. Expense and Revenue Account,
FQZ04W,External System for Tax Calculation,
FQZ05,FI-CA: Account Det - Autom. Clearing,
FQZ06,FI-CA: Installm.Plan Inact. Dunn.Run,
FQZ07,FI-CA: Default Vals Receivable Valtn,
FQZ08,FI-CA: Account Det.-Doubtful Items,
FQZ09,FI-CA: Account Det - Deferred Revenues,
FQZ10,FI-CA: Default Vals Delayed Revenues,
FQZ1072,Biller Direct: Overpayment Specifs,
FQZ1073,Biller Direct: Overpayment Reversal,
FQZ1074,BD: Overpayment Clearing Account,
FQZ11,FI-CA: Account Det.-Ind.Val.Adjustment,
FQZ15,FI-CA: Coll. Agency Specifications,
FQZ1A,FI-CA: Account Det.-Ind.Val.Adjustment,
FQZ20,FI-CA: AccountDet - Indiv. Val. Adj. CZ,
FQZ21,FI-CA: Collection Agency Pstg Specs.,
FQZ22,FI-CA: Callback Data Specifications,
FQZ8,FI-CA: Account Det. - Output Tax,
FQZ9,FI-CA: AccountDet - Tax Clearing/Dwnpmt,
FQZA,FI-CA: AccountDet - CoCode Clearing,
FQZB,FI-CA: AccDet - Charges Rec. Revenue,
FQZC,FI-CA: Account Det. - Cash Discount,
FQZD,FI-CA: AccountDet - Exchange Rate Diff.,
FQZF,FI-CA: Account Det. - Returns,
FQZG,FI-CA: AccDet - Down Pmnt/Charge,
FQZH,FI-CA: Account Maint. Default Entries,
FQZH2,FI-CA: Credit Memo Clearing (EBPP),
FQZI,FI-CA: Incoming Pmnt Specifications,
FQZJ,FI-CA: Clariftn Account Incmg Paymnts,
FQZK,FI-CA: Reverse Doc. Default Entries,
FQZL,FI-CA: Payment Program: Bank Accounts,
FQZN,FI-CA: Act Det.-Inc.Pmnt Refund Account,
FQZO,FI-CA: AccountDet- Reset Clrd Itms Def.,
FQZP,FI-CA: AccountDet.- Reset Clrg: New OI,
FQZQ,FI-CA: Doc Posting: Default Entries,
FQZS,FI-CA: Returns: Default Entries,
FQZT,FI-CA: Check Deposit Clearing,
FQZU,FI-CA: AccountDet-Inst. plan charges,
FQZV,FI-CA: Payment Cards: Account Determ.,
FQZX,FI-CA: Payment Cards: Account Determ.,
FQZY,FI-CA: Dunning: Defaults,
FQZZ,FI-CA: Instal.Plan Interest Spec.,
FQ_ENH_BROKR,Create Enhancement: Broker,
FQ_ENH_OPORD,Create Enhancement: Classificatn Key,
FRE80,No. Range Maintnce: FRE_PROCYC,
FRE81,No. Range Maintnce: FRE_DIFREF,
FRFT,Rapid Entry with Repetitive Code,
FRFT_TR,Repetitives: Payment Treasury Partnr,
FRMLC13,Specify Field Attributes,
FRMLC49,Roles for Events,
FRMLC50,Roles for Events (Explosion),
FS00,G/L Account master record maintenance,
FS01,Create Master Record,
FS02,Change Master Record,
FS03,Display Master Record,
FS04,G/L Account Changes (Centrally),
FS10N,Balance Display,
FS15,Copy G/L account changes: Send,
FSBP_TC_CUST_CHECK,Check Consistency of Customizing,
FSE2,Change Financial Statement Version,
FSE3,Display Financial Statement Version,
FSEPA_M1,SEPA: Create Mandate,
FSEPA_M2,SEPA: Change Mandate,
FSEPA_M3,SEPA: Display Mandate,
FSP0,G/L Account master record in chrt/Accounts,
FSP1,Create Master Record in Chart/Accounts,
FSP2,Change Master Record in Chart/Accounts,
FSP4,G/L Account Changes in Chart/Accounts,
FSS0,G/L account master record in co code,
FSS1,Create Master Record in Company Code,
FSS4,G/L Account Changes in Company Code,
FSSP,Change Bal.Confirmatns Sel.Criteria,
FTE_BSM,Bank Statement Monitor,
FTE_BSM_CUST,Customizing: Bank Statement Monitor,
FTR01,Maintain Number Ranges,
FTRV_CONFIG,Define Communication Profile,
FTRV_MAPPING_CONF,Define Mapping Rules,
FTR_00,Collective Processing,
FTR_ALERT,Financial Transaction: Alert Monitor,
FTR_ALRTCATDEF,Alerts (TRM),
FTR_BP_BIC,Maintain BIC/Account for BP,
FTR_COMATCH,Match unmatched correspondences,
FTR_COMONI,Correspondence monitor,
FTR_COSEND,Execute Unsent Correspondences,
FTR_CREATE,Create a Transaction (TR-TM),
FTR_DEALPOS,Dealer Position,
FTR_DERIVE_EXP_FIELD,Derivation of Exposure Fields,
FTR_EDIT,Process a Treasury Transaction,
FTR_EXT_ASSIGN,Maint.Profile & BPG ass. to Ext.Rec,
FTR_IMPORT,Import Incoming Messages,
FTR_INB_ASSIGN,Maintain BP group for inbound format,
FTR_INB_FUNC,Assign inbound function to partner,
FTR_INT_ASSIGN,Maint.Prof. & BPG Assign. to Int.Rec,
FTR_MASS_SETTLE,Mass Settlemt Financial Transactions,
FTR_NR_CO,Define Number Ranges for CO ID,
FTR_NR_MATCH,Define Number Ranges for Match ID,
FTR_TRM_COR_REL01,Customizing correspondence release,
FTR_TRM_EM_REL01,Customizing of the Release Tool,
FTR_XI_MAP_FXLEG,Mapping for Gen. Transaction Data,
FTR_XI_MAP_FXOPTION,Mapping for Gen. Transaction Data,
FTR_XI_MAP_FXSWAP,Mapping for Gen. Transaction Data,
FTR_XI_MAP_GEN,Mapping for Gen. Transaction Data,
FTW1A,Extract Data,
FTWH,Data view queries,
FTWN,Display view query log,
FTXP,Maintain Tax Code,
FV50,Park G/L Account Items,
FV50L,Park G/L Account Doc. for Ledger Group,
FV53,Display Parked G/L Account Document,
FV60,Park Incoming Invoices,
FV63,Displayed Parked Vendor Document,
FV65,Park Incoming Credit Memos,
FV70,Preliminary Entry Outbound Invoices,
FV73,Display Parked Customer Document,
FV75,Park Outgoing Credit Notes,
FVBTEP,BTE Process Text Module for RE,
FVCP,Copy Program for Form Variants,
FVIQ,Legacy data transfer of compos.rates,
FVIR,Legcy Data Trnsfr:Reset Option Rates,
FVOE,Edit Transfer Table. Opt.Rates,
FVOI,Create Transfer Table Opt.Rates,
FVOP,Transfer Opt.Rates to Prod.System,
FVVC,Transfer input tax correct.values,
FVVD,Lgcy Data Reset Inp.Tax.Correct.Val.,
FVVE,Data Transfer Input Tax Correction,
FW-1,Number Range Maintenance: FVVW_ANLA,
FW-5,Number range maintenance: FVVW_KMNR,
FW17,Maintain security price,
FW20,Create sec.Account,
FW21,Display securities account,
FW26,Change sec.Account,
FWBS,Manual Posting,
FWDP,Securities account list,
FWER,Exercise Security Rights,
FWER_STORNO_NEU,Reversal Rights,
FWOEZ,Reverse Debit Position,
FWSO,Automatic debit position,
FWZE,Manual debit position,
FWZZ,Class Master Data,
FXI1,Create Report,
FXI2,Change Report,
FXI3,Display Report,
FXI4,Create Form,
FXI5,Change Form,
FXI6,Display Form,
FXIO,Transport Reports,
FXIP,Transport Forms,
FXIQ,Import Reports from Client 000,
FXIR,Import Forms from Client 000,
FXIT,Translation Tool - Drilldown Report.,
FXIV,Maintain Global Variable,
FXIX,Reorganize Drilldown Reports,
FXIY,Reorganize Report Data,
FXIZ,Reorganize Forms,
FY01,FI Transport T060* in Client <> 000,
FYMN,Call Additional Components (IMG),
FZ-3,Number Range Maintenance: FVV_VORG,
FZ-4,No.range maintenance:FVV_ADRNR,
FZ-5,Number Range Maintenance: FVV_OBJNR,
FZID,Number Range Maintenance: FVVZ_IDENT,
FZW2,Change Messages / MAIL,
F_TIBAN_WO_ACCNO,Maint. View TIBAN_WO_ACCNO (Modif.),
GAL1,Update Assignment Table EDIMAP,
GAL2,Generate Export/Import,
GAR9,Generate FI-SL Archive/DB Reports,
GB02,Number Range Maint.for Local Ledgers,
GB03,Number Range Maint.f.Global Ledgers,
GB04,Number Range Maint.for Local Ledgers,
GB05,Number Range Maint.f.Global Ledgers,
GC41,GLT3 - Maintain GLT3 sub-assignments,
GCA1,FI-SL: Field Usage for Assessment,
GCA2,FI-SL: Data Control for Assessment,
GCA3,FI-SL: Allocations: Data fld descr.,
GCA4,FI-SL: Allocation Field Grp Texts,
GCA5,FI-SL: Allocation Table Information,
GCA6,FI-SL: Field Usage for Distribution,
GCA7,FI-SL: Data Control for Distributn,
GCA8,Sender-Receiver Relationship,
GCA9,Check allocation customizing,
GCAC,Ledger comparison,
GCAE,Ledger comparison w/diff. clearing,
GCAG,Generate FI-SL Archiving,
GCB1,Change FI-SL Customizing Comp. Code,
GCB2,Display FI-SL Customizing Comp.Code,
GCB3,Copy FI-SL Customizing Company Code,
GCB4,FI-SL: Delete Company Code,
GCBA,FI-SL: Valid Document Types,
GCBR,Document Types for Rollup,
GCBW1,Generate TransStruct. for Totals Tbl,
GCBW2,Generate summ.table trans. structure,
GCBX,FI-SL: Valid Document Types,
GCCG,Generate Code for FI-SL,
GCD1,FI-SL Customizing: Diagnosis Tool,
GCD2,List of FI-SL Direct Posting Tables,
GCD5,Check Currencies in FI-SL,
GCDE,Delete FI-SL Transaction Data,
GCEH,Make settings for Integrationration,
GCEQ,KONS-EURO: End Package,
GCF1,Create FI-SL Customizng Fld Assign.,
GCF2,Change FI-SL Customizng Fld Assign.,
GCF3,Display FI-SL Customizng Fd Assign.,
GCF4,FI-SL: Delete Field Assignment,
GCG1,Create FI-SL Customizing Glob.Comp.,
GCG2,Change FI-SL Customizing Glob.Comp.,
GCG3,Display FI-SL Customizing Glob.Comp,
GCG4,Copy FI-SL Customizing Global Comp.,
GCG5,FI-SL Customizing: Delete Companies,
GCGE,Activate Global Plan Line Items,
GCGG,Generation of GLU1,
GCGS,Reconciliation of Total Line Items,
GCI2,FI-SL: Installation of Object Tables,
GCI3,FI-SL Table Directory,
GCI4,FI-SL Fixed Field Movements,
GCIN,Maintain FI-SL tables,
GCIQ,Quick installation FI-SL,
GCL1,Create FI-SL Customizing Ledger,
GCL2,Change FI-SL Customizing Ledger,
GCL3,Display FI-SL Customizing Ledger,
GCL4,Delete FI-SL Customizing Ledger,
GCL6,FI-SL: Copy Ledger,
GCLE,Activate Local Plan Line Items,
GCM1,Conversion,
GCP1,FI-SL: Local Posting Periods,
GCP2,FI-SL Customizing: T001C,
GCP3,FI-SL: Local Fisc.Yr-Dep.Vers.Param,
GCP4,FI-SL: Global Fisc.Yr-Dep.Vers.Para,
GCP5,FI-SL: Local Plan Periods,
GCP6,FI-SL: Global Plan Periods,
GCR1,Rollup: Create Field Assignment,
GCR2,Rollup: Change Field Assignment,
GCR3,Rollup: Display Field Assignment,
GCR5,FI-SL: Rollup Substitution,
GCR6,FI-SL Customizing:Del.Rollup Fld.A.,
GCRE1,Activate drilldown rep. for SL table,
GCRE2,Deactivate drilldown rep. - SL table,
GCRF,Translation Factors,
GCRS,Languages for Report Writer,
GCS1,FI-SL: Master Data T800D,
GCS5,Balance Carr. Forward Fld Movements,
GCS6,Global Standard Accounts,
GCS7,Bal.Carr.Forward: Global Std Accounts,
GCT0,Transport of Substitutions,
GCT1,Transport Ledger,
GCT2,FI-SL Activation,
GCT3,Control Information,
GCT4,Transport Rollup,
GCT5,Transport: Planning Parameters,
GCT6,Transport Distribution Key,
GCT7,Transport: Cycles,
GCT8,Transport: Document Types,
GCT9,Transport of Validations,
GCTA,Transport Rules,
GCU1,Data Transfer from FI,
GCU2,Generate G1U2,
GCU3,Transfer Data From CO,
GCU4,Subsequent Posting of Data From MM,
GCU5,Subsequent Posting of Data frm Sales,
GCU6,CO plan doc subs. posting to FI-SL,
GCUP,Subsequently posting CO data to FISL,
GCUT,Maintain user tables,
GCV1,FI-SL: Create Activity,
GCV2,Change FI-SL Customizing Activity,
GCV3,Display FI-SL Customizing Activity,
GCV4,FI-SL Customizing: Delete Activity,
GCVB,Update Type in FI-SL,
GCVI,FI-SL: Actual Versions,
GCVO,Preparation for FI-SL Customizing,
GCVP,FI-SL: Plan Periods,
GCVV,FI-SL Validation / Local,
GCVW,FI-SL Validation / Global,
GCVX,FI-SL Substitution / Local,
GCVY,FI-SL Substitution / Global,
GCVZ,Rule Maintenance,
GCW1,Versions for Currency Translation,
GCW2,Local Translation Methods,
GCW3,Global Translation Methods,
GCW4,Sp.Purpose Ldgr Currency Translation,
GCX1,FI-SL: Client-independent user exits,
GD61,Maintain Code Combinations,
GFTR_C0102,TR Transaction Mgmt: Field Selection,
GGB0,Validation Maintenance,
GGB1,Substitution Maintenance,
GL20,Number Ranges FI-SL Rollup,
GL21,Create rollup,
GL22,Change rollup,
GL23,Display rollup,
GL24,Delete rollup,
GLCF,Blnce carrd fwrd: Summ for P&L Accounts,
GLDE,Deletion of Flex G/L transactn data,
GLGCS1,General Ledger: Master Data Check,
GLP2,Flexible G\L: Versions,
GLPLADM,FI-SL: Planner Profile Maintenance,
GLPLANZ,FI-SL: Display Profile Maintenance,
GLPLC,FI-SL Change Planning Layout,
GLPLD,FI-SL Display Planning Layout,
GLPLDEL,Delete Generated Programs,
GLPLI,FI-SL Create Planning Layout,
GLPLIMPORT,Import Layouts,
GLPLINST,Installation of summary tables,
GLPLTOOL,FI-SL: Planning Tool,
GLPLTRANS,FI-SL: Transport Layouts,
GLPV,Flexible G\L: Versions,
GM01,Warranty categories,
GM04,Warranty counter categories,
GP30,Maintain Distribution Keys,
GP31,Create Distribution Key,
GP32,Change Distribution Key,
GP33,Display Distribution Key,
GP34,Delete Distribution Key,
GR11,Create Standard Layout,
GR12,Change Standard Layout,
GR13,Display Standard Layout,
GR14,Delete Standard Layout,
GR21,Create Library,
GR22,Change Library,
GR23,Display library,
GR31,Create report,
GR32,Change Report,
GR33,Display report,
GR37,Export reports,
GR38,Import reports,
GR39,Copy reports from client,
GR3L,Catalog: Reports,
GR51,Create report group,
GR52,Change Report Group,
GR53,Display report group,
GR54,Delete report group,
GR55,Execute Report Group,
GR57,Export report groups,
GR58,Import report groups,
GR59,Copy report groups from client,
GR5G,Generate report groups,
GR5L,Directory: Report groups,
GRE9,"Extracts: User settings, coll.maint.",
GRMG,Generic Request and Message Gen.,
GRR1,RW: Create Row/Column Structure,
GRR2,RW: Change formula,
GRR3,RW: Display formula,
GRR4,Create model,
GRR5,Change model,
GRR6,Display model,
GRRT,Report Painter: Translate reports,
GS01,Create set,
GS02,Change Set,
GS03,Display Set,
GS04,Delete set,
GS11,Create Variable,
GS12,Change Variable,
GS13,Display Variable,
GS14,Delete Variable,
GSP_KD1,Maintain Account deter: 0 balance,
GSTA,Subsequent Pstng of Stat.Key Figures,
GVTR,FI-SL: Balance Carry Forward,
GWUL,FI-SL: Local Currency Translation,
HAP_TAB_CONF,Start Tab and Process Configuration,
HMCR,DG: Dangerous Goods Regulation,
HOSH,Maintenance View for Table ADMI_CRIT,
HR99S00_DAQVIEW,DAQ viewer,
HRBEN0009,Benefits - Plan Overview,
HRBEN0041,Jump from IMG into Maintenance Views,
HRBEN0042,Configuration Consistency Check,
HRBEN0043,Copy Benefit Area,
HRBEN0044,Delete Benefit Area,
HRBEN0045,Benefit Area Currency Conversion,
HRBEN0046,Cost summary,
HRBEN0049,Currency Conversion Benef. Infotypes,
HRBEN0050,Copying templates in BDS,
HRBEN0051,Maintenance of templates in BDS,
HRBEN0053,Copy Benefit Plan,
HRBEN0054,Delete Benefit Plan,
HRBEN0055,Overview Adjustment Permissions,
HRBEN0056,Standard Plans Overview,
HRCLM0010,Jump from IMG to maintenence views,
HRCMP0030,Change Matrix Catalog,
HRCMP0070,Workflow Custom. Comp. Adjustment,
HRCMP0071,Workflow Custom. Awards Exercising,
HRCMP0072,Workflow Custom. Award expiration,
HRCMP0073,Workflow Customizing Life Events,
HRFBN0041,Jump from IMG into Maintenance Views,
HRGPBS_IN1,CLASS Interface (TemSe or Database),
HRGPBS_SNRO,Number Range Maintenance,
HRGPBS_TPS_SNRO,Number Range Maintenance,
HRPADKRCUSTWF0001,Workflow customizing Korea,
HRPADRUKLADRCHECK,KLADR - Check,
HRPADRUKLADRDELETE,KLADR - Delete,
HRPADRUKLADRLOAD,KLADR - Load,
HRPADRUT7RUN,T7RUN-tables tools,
HRPADRU_RUFROMS,Maintaining special RU-Forms,
HRPADRU_T7RUOKSO,OKSO - Load,
HRPAY04_OG00,RPUSEN20 with Variant SAP&DSTG,
HRPAY05_OG00,RPUSEN20 with Variant SAP&VSTG,
HRPAYCA_ROESW,HRDC Software Attributes Update,
HRPAYCA_ROE_CONVERT,ROE: Convert data fr. T5KSN to T5KR0,
HRPBSIN_NMBRNG_LE,Number range maintenance: HRIPSLE,
HRPBSIN_NMBRNG_LOAN,Number range maintenance: HRIPSLOAN,
HRPBSUSACTIONCONFIG,Nature of Action Configuration (4.7),
HRPBSUSDRUG_ADDR,HR Public Sector: maintain address,
HRPBSUSEEOC_ADDR,HR Public Sector: maintain address,
HRPBSUSERRCONFIG,Crediting Plan Configuration for ERR,
HRRCF_ACT_CREATE,Workflow Customizing:CREATE ACTIVITY,
HRRCF_ADJ_ENTRY,Workflow Customizing ADJUST ENTRY,
HRRCF_APPROVE_POS,Workflow Customizing for Approvals,
HRRCF_APPROVE_REQ,Workflow Customizing for Approvals,
HRRCF_CAND_DERIG,Workflow Customizing: DEREGISTER,
HRRCF_OBJECT_CREATE,Workflow Customizing: CREATE OBJECT,
HRRCF_RECREATE_SP,Recreate Search Profile,
HRRCF_SEND_PASSWORD,Workflow Customizing: SEND PASSWORD,
HRRCF_STATUS_CHANGE,Workflow Customizing: STATUS CHANGE,
HRRSM00NUMKR,Maintain Number Range: HRSM_SEQNR,
HRRSM00PAR,External HR Master Data Parameters,
HRTNM00_ACTIVATE,Activate Training Needs Management,
HRUULSP1,Convert Working Conditions,
HRWPC_CMP_WORKFLOW,Workflow Custom. Comp. Adjustment,
HRWPC_OADP_MIGRATION,Migration from OADP Customizing,
HSMC01,Activate Hazardous Substance Checks,
HSMR04,EHS: Activate Phrases,
HSMR05,EHS: Generate Phrase Sets,
HUEX,Number Range Maintenance: HU_VEKP,
HUIND,Database Indexes for Handling Units,
HUMO,HU Monitor,
IA01,Create Equipment Task List,
IA02,Change Equipment Task List,
IA03,Display Equipment Task List,
IA05,Create general task list,
IA06,Change General Maintenance Task List,
IA07,Display General Task List,
IA09,Display Task Lists,
IA11,Create FunctLoc Task List,
IA12,Change FunctLoc Task List,
IA13,Display FunctLoc Task List,
IAOM0,Business Scenario Translator,
IAOM1,Maintain Controlling Scenario,
IAOM_BEMOT,Settlement:Activate Accntng Indicat.,
IB01,Create Equipment BOM,
IB02,Change Equipment BOM,
IB03,Display Equipment BOM,
